ID interno,Número da Nota Fiscal,série,Número de prestações,Data,Data de vencimento,Valor,Valor restante,Dias em débito,Nome,ID,Razão Social,CNPJ/CPF, Telefone,Representante de vendas,Prazo,Data de criação,Status,Tipo de Operação
590287,000060977,1,1,30/07/2025,29/08/2025,14275.00,.00,0,CJ208 UNIMED DE SAO ROQUE - SP,CJ208,UNIMED DE SAO ROQUE COOPERATIVA DE TRABALHO MEDICO,74521188000230,,BRUNA FARIA SÁ,1x - Pagamento em 30 dias,31/07/2020 18:49,Pago,500 - VENDA A NÃO CONTRIBUINTE
590301,000001460,1,1,30/07/2025,27/08/2025,37596.49,.00,0,CJ4767 NOSSA SAUDE ASSISTENCIA - CURITIBA - PR,CJ4767,NOSSA SAUDE OPERAD DE PLANOS PRIVADOS ASSISTENCIA A SAUDE LT,02862447000286,,Lucas Daniel Oliveira Chinarelli,2x - Pagamento em 30 e 60 dias,03/07/2024 12:11,Pago,500 - VENDA A NÃO CONTRIBUINTE
590301,000001460,1,2,30/07/2025,27/09/2025,37596.50,.00,2,CJ4767 NOSSA SAUDE ASSISTENCIA - CURITIBA - PR,CJ4767,NOSSA SAUDE OPERAD DE PLANOS PRIVADOS ASSISTENCIA A SAUDE LT,02862447000286,,Lucas Daniel Oliveira Chinarelli,2x - Pagamento em 30 e 60 dias,03/07/2024 12:11,Pago,500 - VENDA A NÃO CONTRIBUINTE
590302,000060978,1,1,30/07/2025,29/08/2025,10750.81,.00,0,CJ4195 SAO JOAQUIM HOSPITAL E MATERNIDADE - FRANCA - SP,CJ4195,UNIMED DE FRANCA SOC COOPDE SERVICOS MED E HOSPITALARES,45309606000303,,Vanusa Garcia Da Silva,2x - Pagamento em 30 e 60 dias,07/12/2023 15:32,Pago,500 - VENDA A NÃO CONTRIBUINTE
590302,000060978,1,2,30/07/2025,28/09/2025,10750.81,.00,1,CJ4195 SAO JOAQUIM HOSPITAL E MATERNIDADE - FRANCA - SP,CJ4195,UNIMED DE FRANCA SOC COOPDE SERVICOS MED E HOSPITALARES,45309606000303,,Vanusa Garcia Da Silva,2x - Pagamento em 30 e 60 dias,07/12/2023 15:32,Pago,500 - VENDA A NÃO CONTRIBUINTE
590305,000060979,1,1,30/07/2025,27/11/2025,8234.20,.00,1,CJ194 HOSPITAL SIRIO LIBANES IV - ASA SUL - BRASILIA - DF,CJ194,SOCIEDADE BENEFICENTE DE SENHORAS  HOSPITAL SIRIO LIBANES IV,61590410001287,,BRUNA FARIA SÁ,1x - Pagamento em 120 dias,31/07/2020 18:49,Pago,500 - VENDA A NÃO CONTRIBUINTE
590308,000060980,1,1,30/07/2025,29/08/2025,24766.62,.00,0,CJ163 HOSPITAL UNIMED SANTA BARBARA D'OESTE - SP,CJ163,UNIMED DE SANTA BARBARA D OESTE E AMERICANA COOP TRAB MEDICO,48628366000217,,ANA CAROLINE DA SILVA XAVIER,2x - Pagamento em 30 e 60 dias,31/07/2020 18:48,Pago,500 - VENDA A NÃO CONTRIBUINTE
590308,000060980,1,2,30/07/2025,28/09/2025,24766.61,.00,1,CJ163 HOSPITAL UNIMED SANTA BARBARA D'OESTE - SP,CJ163,UNIMED DE SANTA BARBARA D OESTE E AMERICANA COOP TRAB MEDICO,48628366000217,,ANA CAROLINE DA SILVA XAVIER,2x - Pagamento em 30 e 60 dias,31/07/2020 18:48,Pago,500 - VENDA A NÃO CONTRIBUINTE
590317,000060981,1,1,30/07/2025,27/11/2025,5238.00,.00,0,CJ144 HOSPITAL SIRIO LIBANES BELA VISTA - SAO PAULO - SP,CJ144,SOCIEDADE BENEFICIENTE DE SENHORAS HOSPITAL SIRIO LIBANES,61590410000124,,BRUNA FARIA SÁ,1x - Pagamento em 120 dias,31/07/2020 18:48,Pago,500 - VENDA A NÃO CONTRIBUINTE
590319,000060982,1,1,30/07/2025,12/12/2025,7857.00,.00,0,CJ144 HOSPITAL SIRIO LIBANES BELA VISTA - SAO PAULO - SP,CJ144,SOCIEDADE BENEFICIENTE DE SENHORAS HOSPITAL SIRIO LIBANES,61590410000124,,BRUNA FARIA SÁ,1x - Pagamento em 120 dias,31/07/2020 18:48,Pago,500 - VENDA A NÃO CONTRIBUINTE
590321,000060983,1,1,30/07/2025,29/08/2025,49181.00,.00,0,CJ5248 UNIMED LITORAL - BALNEARIO CAMBORIU - SC,CJ5248,UNIMED LITORAL COOPERATIVA DE TRABALHO MEDICO LTDA,85377174001950,,Lucas Daniel Oliveira Chinarelli,2x - Pagamento em 30 e 60 dias,06/02/2025 16:47,Pago,500 - VENDA A NÃO CONTRIBUINTE
590321,000060983,1,2,30/07/2025,28/09/2025,49181.00,.00,1,CJ5248 UNIMED LITORAL - BALNEARIO CAMBORIU - SC,CJ5248,UNIMED LITORAL COOPERATIVA DE TRABALHO MEDICO LTDA,85377174001950,,Lucas Daniel Oliveira Chinarelli,2x - Pagamento em 30 e 60 dias,06/02/2025 16:47,Pago,500 - VENDA A NÃO CONTRIBUINTE
590325,000060984,1,1,30/07/2025,27/12/2025,38683.80,.00,2,CJ194 HOSPITAL SIRIO LIBANES IV - ASA SUL - BRASILIA - DF,CJ194,SOCIEDADE BENEFICENTE DE SENHORAS  HOSPITAL SIRIO LIBANES IV,61590410001287,,BRUNA FARIA SÁ,1x - Pagamento em 120 dias,31/07/2020 18:49,Pago,500 - VENDA A NÃO CONTRIBUINTE
590332,000060985,1,1,30/07/2025,29/08/2025,42174.00,.00,0,CJ424 UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRABALHO MEDICO - SP,CJ424,UNIMED DE PRES. PRUDENTE COOP DE TRABALHO MÉDICO,44863959000126,,Vanusa Garcia Da Silva,1x - Pagamento em 30 dias,11/08/2020 10:53,Pago,500 - VENDA A NÃO CONTRIBUINTE
590333,000060986,1,1,30/07/2025,29/08/2025,11185.46,.00,0,CJ5260 UNIHEALTH HOSPITAL GOVERNADOR VALADARES - MG,CJ5260,ICDS - INSTITUTO DE COOPERACAO PARA O DESENVOLVIMENTO DA SAU,06288135002124,,MATEUS AUGUSTO LEME CRISPIM,1x - Pagamento em 30 dias,11/02/2025 11:12,Pago,500 - VENDA A NÃO CONTRIBUINTE
590444,000060989,1,1,31/07/2025,30/08/2025,5376.16,.00,2,CJ364 OMINT SAUDE - SAO PAULO - SP,CJ364,OMINT SERVIÇOS DE SAUDE S.A.,44673382000190,11 21324255,BRUNA FARIA SÁ,1x - Pagamento em 30 dias,02/08/2020 16:55,Pago,504 - VENDA À ORDEM NÃO CONTRIBUINTE
